,Distribution,Beta,N,topk,sigma,B_hat,Bh_L,Bh_H,R2
0,Normal,0.8333333333333334,10,0.5,0.05,0.5886607030394089,-0.725289958869457,1.9026113649482748,0.4039100660874253
1,Normal,0.8333333333333334,10,0.5,0.05,1.1156170097646623,-0.5132535516307679,2.7444875711600925,0.6129500237136073
2,Normal,0.8333333333333334,10,0.5,0.05,0.44108396773358294,-0.6825711344590795,1.5647390699262453,0.3421954740888914
3,Normal,0.8333333333333334,10,0.5,0.05,0.5467863108198685,-0.38282810763267583,1.4764007292724128,0.538738313183283
4,Normal,0.8333333333333334,10,0.5,0.05,0.36693847594975004,0.20457346713964472,0.5293034847598553,0.9451832269122922
5,Normal,0.8333333333333334,10,0.5,0.05,0.8510590462851795,0.35183767678501826,1.3502804157853407,0.9075056176009576
6,Normal,0.8333333333333334,10,0.5,0.05,0.5620797995115545,-0.23305912861762512,1.3572187276407341,0.6278354536694638
7,Normal,0.8333333333333334,10,0.5,0.05,0.9730687030330252,-0.6158642202243549,2.5620016262904053,0.5587181964814136
8,Normal,0.8333333333333334,10,0.5,0.05,1.2121205969133726,-0.23190259094648047,2.6561437847732257,0.7040303693453842
9,Normal,0.8333333333333334,10,0.5,0.05,1.0615221401130555,-0.8999665175946581,3.0230107978207688,0.4971721252736764
10,Normal,0.8333333333333334,10,0.5,0.05,0.5793796039640711,-0.14011906092203896,1.298878268850181,0.6864327683203577
11,Normal,0.8333333333333334,10,0.5,0.05,0.4202561779160945,0.11130065847174253,0.7292116973604464,0.8620024739306812
12,Normal,0.8333333333333334,10,0.5,0.05,0.08570365332024821,-0.5417248148589808,0.7131321214994772,0.0592573183573164
13,Normal,0.8333333333333334,10,0.5,0.05,0.5197662453294534,-0.4028271340248293,1.442359624683736,0.5172604498988869
14,Normal,0.8333333333333334,10,0.5,0.05,0.5783817542766627,-2.0394560125546985,3.196219521108024,0.14147999761635488
15,Normal,0.8333333333333334,10,0.5,0.05,0.3854861033649186,-0.3706808655382581,1.1416530722680953,0.4673400537079565
16,Normal,0.8333333333333334,10,0.5,0.05,0.4758247095921746,-1.5230760437190065,2.474725462903356,0.16058009097438042
17,Normal,0.8333333333333334,10,0.5,0.05,0.6330551916224536,0.00711247964378614,1.258997903601121,0.7754396351705958
18,Normal,0.8333333333333334,10,0.5,0.05,0.545176174548196,-0.3030505626379013,1.3934029117342934,0.5823943208444593
19,Normal,0.8333333333333334,10,0.5,0.05,0.6596486556036893,-1.0256366835065633,2.344933994713942,0.3409019159904868
20,Normal,0.8333333333333334,10,0.5,0.05,0.27423798674494293,-0.0821253053134961,0.6306012788033819,0.666584903951776
21,Normal,0.8333333333333334,10,0.5,0.05,0.9393434977344484,0.03166893383980862,1.847018061629088,0.7833469899010548
22,Normal,0.8333333333333334,10,0.5,0.05,0.23959449976052127,-0.5872489878013911,1.0664379873224337,0.22086254221019508
23,Normal,0.8333333333333334,10,0.5,0.05,1.3356001461548246,0.40306296667465347,2.2681373256349957,0.8738174768653801
24,Normal,0.8333333333333334,10,0.5,0.05,0.3809869526807148,-0.4570608872997818,1.2190347926612115,0.41097601606856193
25,Normal,0.8333333333333334,10,0.5,0.05,0.43756625956985573,-1.0203000326480787,1.8954325517877901,0.23320277389120847
26,Normal,0.8333333333333334,10,0.5,0.05,1.4326648260320631,0.25213630926763986,2.613193342796486,0.832553843706153
27,Normal,0.8333333333333334,10,0.5,0.05,0.7190055287073278,0.3176027100541936,1.120408347360462,0.9154827021406872
28,Normal,0.8333333333333334,10,0.5,0.05,0.360612734081613,-1.9824580757883559,2.703683543951582,0.07404600229760605
29,Normal,0.8333333333333334,10,0.5,0.05,0.9396104717062066,0.16805961215310172,1.7111613312593115,0.8335243245752066
30,Normal,0.8333333333333334,10,0.5,0.05,1.0715464967039736,-0.7778527374951005,2.920945730903048,0.5312522634080368
31,Normal,0.8333333333333334,10,0.5,0.05,-0.0018463800279135967,-3.8105486113480045,3.8068558512921773,7.933936491122395e-07
32,Normal,0.8333333333333334,10,0.5,0.05,1.1071466884799577,-0.5110546188796163,2.725347995839532,0.6124517777014138
33,Normal,0.8333333333333334,10,0.5,0.05,2.067460623887712,0.6325584519827987,3.502362795792625,0.8751341171353099
34,Normal,0.8333333333333334,10,0.5,0.05,0.5453538370474575,-0.15331776845514256,1.2440254425500576,0.6728703457485674
35,Normal,0.8333333333333334,10,0.5,0.05,0.5042765979699197,-0.14292551535502107,1.1514787112948606,0.6720828538615246
36,Normal,0.8333333333333334,10,0.5,0.05,0.6718354898194434,-3.345140562788112,4.688811542426999,0.08628568338389042
37,Normal,0.8333333333333334,10,0.5,0.05,-0.36824943472572613,-1.2727352901679476,0.5362364207164954,0.35881197897030515
38,Normal,0.8333333333333334,10,0.5,0.05,1.2085859072387208,-0.2611170648967778,2.6782888793742194,0.69539611498445
39,Normal,0.8333333333333334,10,0.5,0.05,0.9236748920822571,0.12960668769158412,1.71774309647293,0.8204014451378574
40,Normal,0.8333333333333334,10,0.5,0.05,0.2512043994636599,-0.26032609192704237,0.7627348908543622,0.44878217433977863
41,Normal,0.8333333333333334,10,0.5,0.05,-0.16572706235007217,-2.72075154087367,2.389297416173526,0.014004658145962745
42,Normal,0.8333333333333334,10,0.5,0.05,0.5543454728936013,-1.0781856778697982,2.1868766236570005,0.2801919579847625
43,Normal,0.8333333333333334,10,0.5,0.05,0.8842863106954351,-0.24616933631073934,2.0147419577016095,0.673816505366253
44,Normal,0.8333333333333334,10,0.5,0.05,0.4815775986078954,0.08882846959966384,0.874326727616127,0.8354121475806635
45,Normal,0.8333333333333334,10,0.5,0.05,0.4518368408968172,0.14738529475897794,0.7562883870346564,0.8814576272966641
46,Normal,0.8333333333333334,10,0.5,0.05,0.9993115159225141,-0.9310129114578385,2.9296359433028667,0.47500446746288116
47,Normal,0.8333333333333334,10,0.5,0.05,0.582078887622643,-1.1203583141562112,2.2845160894014973,0.2829790354688122
48,Normal,0.8333333333333334,10,0.5,0.05,0.6472893734754948,-0.35590743634056077,1.6504861832915503,0.5842830664895035
49,Normal,0.8333333333333334,10,0.5,0.05,0.5367038232601775,0.07739743220887013,0.9960102143114848,0.8217348699775937
50,Normal,0.8333333333333334,100,0.5,0.05,0.43631000554268873,0.2698404384986023,0.6027795725867752,0.38243320151563265
51,Normal,0.8333333333333334,100,0.5,0.05,0.3543760980507571,0.19061265082393514,0.518139545277579,0.2968292536506726
52,Normal,0.8333333333333334,100,0.5,0.05,0.3964735887419,0.16766484161632877,0.6252823358674712,0.2130113525871834
53,Normal,0.8333333333333334,100,0.5,0.05,0.7160808980158953,0.5470361571229758,0.8851256389088147,0.6179710493403798
54,Normal,0.8333333333333334,100,0.5,0.05,0.5343448698548698,0.34768348478747096,0.7210062549222687,0.4248673444513411
55,Normal,0.8333333333333334,100,0.5,0.05,0.6280665859676784,0.4336450505444789,0.8224881213908779,0.4847349483509197
56,Normal,0.8333333333333334,100,0.5,0.05,0.4735678537710548,0.2639594082624974,0.6831762992796122,0.3202814830708576
57,Normal,0.8333333333333334,100,0.5,0.05,0.4345631891331543,0.2669574038202547,0.6021689744460539,0.37733837018815886
58,Normal,0.8333333333333334,100,0.5,0.05,0.5738071187647904,0.3734281708520591,0.7741860666775218,0.43084106629987695
59,Normal,0.8333333333333334,100,0.5,0.05,0.4173157741465392,0.26105203048008707,0.5735795178129913,0.3913315967880582
60,Normal,0.8333333333333334,100,0.5,0.05,0.4114526207608975,0.23953377667053863,0.5833714648512563,0.3405214014478617
61,Normal,0.8333333333333334,100,0.5,0.05,0.584183489142188,0.40819894605282425,0.7601680322315517,0.5042627657285346
62,Normal,0.8333333333333334,100,0.5,0.05,0.6560217346122883,0.4985749088909946,0.8134685603335821,0.6101393555909178
63,Normal,0.8333333333333334,100,0.5,0.05,0.4518355007472934,0.28655733644860715,0.6171136650459796,0.40252922185145124
64,Normal,0.8333333333333334,100,0.5,0.05,0.7137379368459609,0.5505259631383412,0.8769499105535805,0.6383813573675787
65,Normal,0.8333333333333334,100,0.5,0.05,0.6460464916102793,0.4572610457870574,0.8348319374335011,0.5194736871586951
66,Normal,0.8333333333333334,100,0.5,0.05,0.4963694187702261,0.33657686729043285,0.6561619702500194,0.4651998099999185
67,Normal,0.8333333333333334,100,0.5,0.05,0.5140456658841632,0.356768963760255,0.6713223680080714,0.4905752658613294
68,Normal,0.8333333333333334,100,0.5,0.05,0.5835916022017145,0.41683509102637145,0.7503481133770575,0.5306482656699478
69,Normal,0.8333333333333334,100,0.5,0.05,0.6569423682993492,0.4779359179424763,0.8359488186562221,0.5542264984423139
70,Normal,0.8333333333333334,100,0.5,0.05,0.6308730294019016,0.4171108620644016,0.8446351967394016,0.4456888128027118
71,Normal,0.8333333333333334,100,0.5,0.05,0.48135289264346337,0.32681046073129383,0.6358953245556329,0.4665375176200315
72,Normal,0.8333333333333334,100,0.5,0.05,0.5489201794907275,0.35870265897230147,0.7391377000091535,0.43462223489520535
73,Normal,0.8333333333333334,100,0.5,0.05,0.6719469211642703,0.5033680027479235,0.8405258395806172,0.5945878474607931
74,Normal,0.8333333333333334,100,0.5,0.05,0.6430076381611296,0.4689101263036224,0.8171051500186368,0.5573701399786415
75,Normal,0.8333333333333334,100,0.5,0.05,0.45552110608087304,0.27887020340386515,0.6321720087578809,0.3747760866009314
76,Normal,0.8333333333333334,100,0.5,0.05,0.6364605966617596,0.43752609985396396,0.8353950934695552,0.48583063473066435
77,Normal,0.8333333333333334,100,0.5,0.05,0.48514282632563344,0.2511291076127041,0.7191565450385627,0.27924956715008786
78,Normal,0.8333333333333334,100,0.5,0.05,0.6183774668777549,0.45235661435574115,0.7843983193997686,0.5556823500996602
79,Normal,0.8333333333333334,100,0.5,0.05,0.5375767802015079,0.36223190449343595,0.7129216559095799,0.458674351817676
80,Normal,0.8333333333333334,100,0.5,0.05,0.5135356492199659,0.34347131471568354,0.6835999837242481,0.4570309646383074
81,Normal,0.8333333333333334,100,0.5,0.05,0.7631224816747348,0.568879164814708,0.9573657985347617,0.5818322928879212
82,Normal,0.8333333333333334,100,0.5,0.05,0.45144658938362703,0.27699164827980804,0.625901530487446,0.37642902380994114
83,Normal,0.8333333333333334,100,0.5,0.05,0.4122116890778882,0.2009197899824853,0.6235035881732911,0.25999518871208527
84,Normal,0.8333333333333334,100,0.5,0.05,0.6567391672682734,0.44382754610249925,0.8696507884340476,0.4676037270717778
85,Normal,0.8333333333333334,100,0.5,0.05,0.46884952625021725,0.301508394069419,0.6361906584310155,0.4201661031264897
86,Normal,0.8333333333333334,100,0.5,0.05,0.5900437648499572,0.3942794476529421,0.7858080820469724,0.45610926773632476
87,Normal,0.8333333333333334,100,0.5,0.05,0.6069925630847579,0.483847141011549,0.7301379851579668,0.6865387539846859
88,Normal,0.8333333333333334,100,0.5,0.05,0.6251228114073015,0.4733161625702265,0.7769294602443766,0.6045276872311012
89,Normal,0.8333333333333334,100,0.5,0.05,0.6181875824566809,0.4844471157827376,0.7519280491306243,0.6582414770709248
90,Normal,0.8333333333333334,100,0.5,0.05,0.6313062831563214,0.4588650113778882,0.8037475549347546,0.5530205109214215
91,Normal,0.8333333333333334,100,0.5,0.05,0.6104210550854793,0.36829146873596297,0.8525506414349956,0.3642505884064635
92,Normal,0.8333333333333334,100,0.5,0.05,0.5126408473969777,0.3441997247924493,0.681081970001506,0.4550378404975508
93,Normal,0.8333333333333334,100,0.5,0.05,0.5092774667924158,0.3424794046570342,0.6760755289277974,0.4566352228708265
94,Normal,0.8333333333333334,100,0.5,0.05,0.6121387094727355,0.43069144427365597,0.793585974671815,0.5123478005407893
95,Normal,0.8333333333333334,100,0.5,0.05,0.5677088116997915,0.33275826281585086,0.8026593605837321,0.3448291199245612
96,Normal,0.8333333333333334,100,0.5,0.05,0.627804616583667,0.4343472946199963,0.8212619385473378,0.48701039816045766
97,Normal,0.8333333333333334,100,0.5,0.05,0.43907294373768213,0.2893361513710506,0.5888097361043136,0.4366568763077502
98,Normal,0.8333333333333334,100,0.5,0.05,0.6175358174218442,0.4505884245401891,0.7844832103034992,0.5581186577642685
99,Normal,0.8333333333333334,100,0.5,0.05,0.45452842091368595,0.3152546872293118,0.5938021545980601,0.48983241256345345
100,Normal,0.8333333333333334,1000,0.5,0.05,0.5284545712501147,0.47306318251465224,0.5838459599855773,0.4342186705719171
101,Normal,0.8333333333333334,1000,0.5,0.05,0.5384505631020158,0.48336438775699264,0.5935367384470389,0.4445553642755383
102,Normal,0.8333333333333334,1000,0.5,0.05,0.43368381515931165,0.3823683069718658,0.4849993233467575,0.3753642175584857
103,Normal,0.8333333333333334,1000,0.5,0.05,0.5679937493206766,0.5110654628527334,0.6249220357886198,0.4557954052985064
104,Normal,0.8333333333333334,1000,0.5,0.05,0.538945064989762,0.4822820788903216,0.5956080510892025,0.43111504520813304
105,Normal,0.8333333333333334,1000,0.5,0.05,0.5458741582175186,0.48773717595585386,0.6040111404791834,0.425329618341318
106,Normal,0.8333333333333334,1000,0.5,0.05,0.5574808160839839,0.5006691467538738,0.6142924854140941,0.448099586592835
107,Normal,0.8333333333333334,1000,0.5,0.05,0.5135700920756934,0.4571513240542623,0.5699888600971245,0.4097210046950167
108,Normal,0.8333333333333334,1000,0.5,0.05,0.529958179519729,0.47308553041939205,0.586830828620066,0.42215081826216283
109,Normal,0.8333333333333334,1000,0.5,0.05,0.5614556183334991,0.5065625266076224,0.6163487100593759,0.4681365073497705
110,Normal,0.8333333333333334,1000,0.5,0.05,0.5546405238130894,0.498517875191302,0.6107631724348768,0.4510681467661297
111,Normal,0.8333333333333334,1000,0.5,0.05,0.5754923461016035,0.5135881188185129,0.6373965733846941,0.4204734279051088
112,Normal,0.8333333333333334,1000,0.5,0.05,0.5577016680053912,0.5058797125799378,0.6095236234308447,0.4940742090583208
113,Normal,0.8333333333333334,1000,0.5,0.05,0.5240909504055073,0.4679289711293894,0.5802529296816253,0.42232050900219076
114,Normal,0.8333333333333334,1000,0.5,0.05,0.5152886243389461,0.4571723235773614,0.5734049251005308,0.39810783464472177
115,Normal,0.8333333333333334,1000,0.5,0.05,0.5381210074568106,0.4832294895115505,0.5930125254020706,0.44600168709276866
116,Normal,0.8333333333333334,1000,0.5,0.05,0.5425738351786222,0.4845293062639957,0.6006183640932488,0.42421416109876353
117,Normal,0.8333333333333334,1000,0.5,0.05,0.5157611223360257,0.45936615068187314,0.5721560939901782,0.4130454052223703
118,Normal,0.8333333333333334,1000,0.5,0.05,0.5195884056087801,0.46288206530205533,0.5762947459155048,0.4134301309578211
119,Normal,0.8333333333333334,1000,0.5,0.05,0.5027736033847057,0.4439563070378991,0.5615908997315122,0.3802005385953894
120,Normal,0.8333333333333334,1000,0.5,0.05,0.5721788983135567,0.5219882493413877,0.6223695472857258,0.5212266816036046
121,Normal,0.8333333333333334,1000,0.5,0.05,0.5017693997074084,0.44768332400442973,0.5558554754103872,0.4194632011470578
122,Normal,0.8333333333333334,1000,0.5,0.05,0.5014662007369524,0.4442203180558012,0.5587120834181035,0.39128185891874123
123,Normal,0.8333333333333334,1000,0.5,0.05,0.4850369076225016,0.429233972749498,0.5408398424955053,0.3875811728293159
124,Normal,0.8333333333333334,1000,0.5,0.05,0.5010746521473952,0.4442876001532414,0.557861704141549,0.395270325796245
125,Normal,0.8333333333333334,1000,0.5,0.05,0.5563900002309126,0.5024419775166153,0.6103380229452098,0.47227335299583717
126,Normal,0.8333333333333334,1000,0.5,0.05,0.5055073299721982,0.45114974484070597,0.5598649151036903,0.42010767383630143
127,Normal,0.8333333333333334,1000,0.5,0.05,0.5389701745828208,0.48701516317362076,0.5909251859920208,0.4746365299345182
128,Normal,0.8333333333333334,1000,0.5,0.05,0.5897758540515303,0.5363050760741291,0.6432466320289315,0.5058240219648109
129,Normal,0.8333333333333334,1000,0.5,0.05,0.5087536557828134,0.4499926783150447,0.5675146332505822,0.3862427877583806
130,Normal,0.8333333333333334,1000,0.5,0.05,0.50922072409769,0.45833621357891724,0.5601052346164628,0.457286518194162
131,Normal,0.8333333333333334,1000,0.5,0.05,0.5313891317141453,0.4734600126495023,0.5893182507787882,0.4134456319689488
132,Normal,0.8333333333333334,1000,0.5,0.05,0.48684408923774125,0.4322265063769289,0.5414616720985537,0.4001286687345995
133,Normal,0.8333333333333334,1000,0.5,0.05,0.5053497757188965,0.4475015767304693,0.5631979747073237,0.3899717047120205
134,Normal,0.8333333333333334,1000,0.5,0.05,0.4842560021352338,0.4287328242353569,0.5397791800351106,0.3902429543932645
135,Normal,0.8333333333333334,1000,0.5,0.05,0.5213735573867241,0.46338809639402956,0.5793590183794186,0.4048327557284782
136,Normal,0.8333333333333334,1000,0.5,0.05,0.5424847565693317,0.48383580393496856,0.6011337092036949,0.41801566868268214
137,Normal,0.8333333333333334,1000,0.5,0.05,0.5551110709913054,0.5023452769153146,0.6078768650672962,0.4816345193293722
138,Normal,0.8333333333333334,1000,0.5,0.05,0.5890660459557702,0.532133834573788,0.6459982573377523,0.47442963802998195
139,Normal,0.8333333333333334,1000,0.5,0.05,0.5492571249244467,0.4873964425013205,0.6111178073475728,0.3982549724611898
140,Normal,0.8333333333333334,1000,0.5,0.05,0.5322370999743309,0.4744654777657411,0.5900087221829207,0.4160712642123302
141,Normal,0.8333333333333334,1000,0.5,0.05,0.47084570194977027,0.412278977681286,0.5294124262182545,0.3517450036215153
142,Normal,0.8333333333333334,1000,0.5,0.05,0.5219082038325458,0.4667841686944815,0.5770322389706101,0.42940151427581796
143,Normal,0.8333333333333334,1000,0.5,0.05,0.541407270573629,0.48718261481837083,0.5956319263288872,0.4556089508271416
144,Normal,0.8333333333333334,1000,0.5,0.05,0.567066078959054,0.5136796974450027,0.6204524604731053,0.4858917859721261
145,Normal,0.8333333333333334,1000,0.5,0.05,0.49004084606738596,0.43425299703228987,0.545828695102482,0.3925936679216637
146,Normal,0.8333333333333334,1000,0.5,0.05,0.5289885310532385,0.47443560921362476,0.5835414528928522,0.44007062542116826
147,Normal,0.8333333333333334,1000,0.5,0.05,0.5219128836091477,0.4693316543422759,0.5744941128760195,0.45214563310729605
148,Normal,0.8333333333333334,1000,0.5,0.05,0.553023804899829,0.49848451141732886,0.6075630983823292,0.4638237935977114
149,Normal,0.8333333333333334,1000,0.5,0.05,0.5576509892333936,0.4989302606783236,0.6163717177884637,0.43142578234624185
150,Normal,0.8333333333333334,10000,0.5,0.05,0.5237419555503353,0.5057844382967557,0.541699472803915,0.41477114469287923
151,Normal,0.8333333333333334,10000,0.5,0.05,0.5195542698847169,0.5023126374124245,0.5367959023570092,0.4309728703544258
152,Normal,0.8333333333333334,10000,0.5,0.05,0.5436556633291105,0.5263231733202244,0.5609881533379967,0.4503581445350836
153,Normal,0.8333333333333334,10000,0.5,0.05,0.5451522866775397,0.5271742317919565,0.5631303415631228,0.4339969321317916
154,Normal,0.8333333333333334,10000,0.5,0.05,0.5329084014856896,0.5153692484372222,0.5504475545341571,0.43482001989313235
155,Normal,0.8333333333333334,10000,0.5,0.05,0.5394256730600122,0.521754322241194,0.5570970238788304,0.43737216364275966
156,Normal,0.8333333333333334,10000,0.5,0.05,0.5336146500360017,0.5162329888817074,0.550996311190296,0.4398575633308772
157,Normal,0.8333333333333334,10000,0.5,0.05,0.5277868334513072,0.5104838071146698,0.5450898597879446,0.4364698010620718
158,Normal,0.8333333333333334,10000,0.5,0.05,0.535077972848802,0.5175575537538845,0.5525983919437195,0.4375041007362369
159,Normal,0.8333333333333334,10000,0.5,0.05,0.5322382706835614,0.5147508120444477,0.5497257293226752,0.43554588468398603
160,Normal,0.8333333333333334,10000,0.5,0.05,0.5164207230912982,0.4988680022875281,0.5339734438950683,0.4188535419619932
161,Normal,0.8333333333333334,10000,0.5,0.05,0.5356381844461917,0.518413817791515,0.5528625511008685,0.4461045433079195
162,Normal,0.8333333333333334,10000,0.5,0.05,0.5058743275901889,0.48857963134152893,0.5231690238388489,0.41586282682497966
163,Normal,0.8333333333333334,10000,0.5,0.05,0.5365085588823848,0.5194159658396972,0.5536011519250724,0.45086777589662996
164,Normal,0.8333333333333334,10000,0.5,0.05,0.527698357169929,0.5103632504111434,0.5450334639287145,0.4357429109017682
165,Normal,0.8333333333333334,10000,0.5,0.05,0.5365303310175412,0.5184976982157439,0.5545629638193386,0.42475304230441246
166,Normal,0.8333333333333334,10000,0.5,0.05,0.5339241014594642,0.5162792646165222,0.5515689383024063,0.43296411544977476
167,Normal,0.8333333333333334,10000,0.5,0.05,0.5297742382353863,0.512194675113949,0.5473538013568235,0.430794114034719
168,Normal,0.8333333333333334,10000,0.5,0.05,0.5356437568601484,0.5175688891394249,0.553718624580872,0.4225910045248287
169,Normal,0.8333333333333334,10000,0.5,0.05,0.5233207084309397,0.5056905328574318,0.5409508840044476,0.42354838435893327
170,Normal,0.8333333333333334,10000,0.5,0.05,0.5381800197526769,0.5207111231878141,0.5556489163175398,0.44158932357536995
171,Normal,0.8333333333333334,10000,0.5,0.05,0.5497302025578501,0.5320116613641156,0.5674487437515846,0.44512005530135723
172,Normal,0.8333333333333334,10000,0.5,0.05,0.5268003561845743,0.5094403906380517,0.544160321731097,0.43414806241648296
173,Normal,0.8333333333333334,10000,0.5,0.05,0.5249038575739732,0.5076370459795956,0.5421706691683508,0.43507316465792134
174,Normal,0.8333333333333334,10000,0.5,0.05,0.5338901249259578,0.5161869679462164,0.5515932819056991,0.43131338950567333
175,Normal,0.8333333333333334,10000,0.5,0.05,0.5158349558604116,0.4978835513692318,0.5337863603515914,0.40777967913434465
176,Normal,0.8333333333333334,10000,0.5,0.05,0.5201163733130292,0.5023040835519249,0.5379286630741335,0.4151830774166876
177,Normal,0.8333333333333334,10000,0.5,0.05,0.5177202076602657,0.49987530315034545,0.535565112170186,0.41226596396454374
178,Normal,0.8333333333333334,10000,0.5,0.05,0.5210330686331373,0.503341647232669,0.5387244900336055,0.4193505987865941
179,Normal,0.8333333333333334,10000,0.5,0.05,0.5275524146528463,0.5097708184854212,0.5453340108202714,0.42309320843943066
180,Normal,0.8333333333333334,10000,0.5,0.05,0.5246900252200013,0.5073178749281183,0.5420621755118843,0.4322054307986791
181,Normal,0.8333333333333334,10000,0.5,0.05,0.5232338950707355,0.5059229359036513,0.5405448542378196,0.4324134382907552
182,Normal,0.8333333333333334,10000,0.5,0.05,0.5304101193001127,0.51220816402755,0.5486120745726755,0.4145073854600453
183,Normal,0.8333333333333334,10000,0.5,0.05,0.5268214431264795,0.5093254706139385,0.5443174156390205,0.4303373919490998
184,Normal,0.8333333333333334,10000,0.5,0.05,0.5283960275730164,0.5108321851286344,0.5459598700173984,0.4296367906202363
185,Normal,0.8333333333333334,10000,0.5,0.05,0.5276888880123196,0.5101410268329588,0.5452367491916804,0.4296922094719141
186,Normal,0.8333333333333334,10000,0.5,0.05,0.5431660865069246,0.5258130209379674,0.5605191520758817,0.44937862795824035
187,Normal,0.8333333333333334,10000,0.5,0.05,0.513454231144441,0.49564336760266337,0.5312650946862186,0.40913266829521777
188,Normal,0.8333333333333334,10000,0.5,0.05,0.5235665527170483,0.5064199295705989,0.5407131758634978,0.4373074280809639
189,Normal,0.8333333333333334,10000,0.5,0.05,0.5208475132695847,0.5032720129352719,0.5384230136038974,0.4224873836838404
190,Normal,0.8333333333333334,10000,0.5,0.05,0.5356795095248763,0.5178709792348807,0.5534880398148719,0.43031017525723114
191,Normal,0.8333333333333334,10000,0.5,0.05,0.5315543835472374,0.5140887524279378,0.5490200146665369,0.4356877832710754
192,Normal,0.8333333333333334,10000,0.5,0.05,0.519353111958445,0.5017967916191629,0.5369094322977271,0.42177702337257006
193,Normal,0.8333333333333334,10000,0.5,0.05,0.5147993864954594,0.4968311995763804,0.5327675734145385,0.40614916069142926
194,Normal,0.8333333333333334,10000,0.5,0.05,0.5172860032571687,0.49985186592077985,0.5347201405935574,0.4231329918454514
195,Normal,0.8333333333333334,10000,0.5,0.05,0.5335586773800718,0.5160729792865021,0.5510443754736415,0.43676077268734026
196,Normal,0.8333333333333334,10000,0.5,0.05,0.543754031797183,0.5259691207250666,0.5615389428692993,0.43804613285787386
197,Normal,0.8333333333333334,10000,0.5,0.05,0.543032182916066,0.5258261246702177,0.5602382411619143,0.4534701588293544
198,Normal,0.8333333333333334,10000,0.5,0.05,0.5408284766151006,0.5227349548072365,0.5589219984229646,0.4271127675266595
199,Normal,0.8333333333333334,10000,0.5,0.05,0.5167535327495192,0.49917072583794236,0.534336339661096,0.4182808019678519
200,Normal,0.8333333333333334,100000,0.5,0.05,0.5263862276603088,0.5208182705978485,0.5319541847227692,0.426712117594523
201,Normal,0.8333333333333334,100000,0.5,0.05,0.531410068274397,0.5258377406476691,0.5369823959011248,0.43096496470928136
